k,nmi,nmi_female,nmi_male,misaligned
4,0.7505483837921937,0.8111169266274654,0.7655081431852288,50
5,0.7219235878754797,0.8248015659858315,0.6894570959335394,65
6,0.794513345308055,0.8559035197096734,0.7866124437200946,52
7,0.7809706731634257,0.8399944701062968,0.7781716991278842,58
8,0.8028323499288071,0.8306475012957758,0.8314778609795549,57
9,0.783910905330377,0.8544255169185926,0.7667153396976139,69
10,0.8169827957307374,0.8574709845880356,0.8246611072241365,58
