k,nmi,nmi_female,nmi_male,misaligned
4,0.933501734444261,0.9365858839653927,0.953082583728483,12
5,0.9506424810190193,0.9323678558808107,0.9786553184851128,12
6,0.9128431829784492,0.9199369699376078,0.9301183852068966,24
7,0.7608765285933926,0.7584655691475132,0.8380316292814234,105
8,0.8578703942481453,0.8631176362786238,0.893357015487476,49
9,0.7484647529207791,0.7384856131964128,0.8367507333845968,121
10,0.7439962980641909,0.7643443594940356,0.8029501100792671,121
