k,dist_fl_female,dist_fl_male,dist_b_female,dist_b_male
4,1.16,1.76,1.92,2.0
5,1.18,2.06,2.04,1.71
6,1.46,1.32,1.72,1.61
7,1.43,1.31,2.02,1.74
8,1.42,1.59,1.92,1.82
9,1.01,0.0,2.02,1.8
10,1.26,1.42,2.1,1.85
