k,dist_fl_female,dist_fl_male,dist_b_female,dist_b_male
4,1.87,1.99,4.3,3.11
5,1.09,1.63,2.72,2.22
6,2.85,2.57,3.17,2.76
7,1.35,1.34,1.65,1.48
8,1.67,1.99,2.49,2.27
9,1.51,1.4,1.65,1.62
10,1.57,1.54,1.72,1.61
