k,dist_fl_female,dist_fl_male,dist_b_female,dist_b_male
4,1.46,1.74,1.21,1.18
5,1.19,1.18,0.95,1.28
6,1.43,1.99,1.07,1.36
7,1.88,2.14,1.34,1.19
8,1.38,0.44,1.22,1.03
9,1.6,0.98,1.37,1.46
10,1.58,2.28,0.71,0.78
