k,mis_fl_female,mis_fl_male,mis_b_female,mis_b_male
4,9,6,77,40
5,16,8,90,36
6,45,56,131,62
7,67,60,125,74
8,26,40,150,49
9,1,0,139,64
10,13,33,161,66
