k,mis_fl_female,mis_fl_male,mis_b_female,mis_b_male
4,13,8,26,24
5,21,9,27,38
6,12,8,26,26
7,26,17,29,29
8,16,5,33,24
9,22,14,33,36
10,15,9,30,28
