k,mis_fl_female,mis_fl_male,mis_b_female,mis_b_male
4,8,35,57,65
5,6,10,66,77
6,6,9,64,73
7,22,51,122,107
8,4,11,119,114
9,14,37,123,115
10,11,45,143,114
